,Tweets
48,"Kembali berjuang esok hari,
⚽️Persita Tangerang vs PSIS Semarang

𝒀𝑶𝑯 𝑰𝑺𝑶 𝒀𝑶𝑯💪🏼🔵

#PSIS | #Matchday https://t.co/VTNvO0Q1hE"
49,"Our Blues in XI GW 9 🔵🔥
1️⃣4️⃣🤝4️⃣6️⃣ https://t.co/tT6kxTYdNq https://t.co/GAeci6I6Dr"
50,@ForzaPSIS 😂😂
51,"Kami berangkat pagi ini ke Tangerang. Bismillah! 😇

#PSIS https://t.co/ZYARjHoW93"
52,"Travel squad to Tangerang✈️
Jemput poin penuh, bawa pulang lagi ke Semarang. Yoh iso yoh!

#PSIS https://t.co/z7Y1KZOk3n"
53,"Seberapa PSIS sih Andreas Ado? 🤔

Kami challenge Andreas di ""Seberapa PSIS kamu?"" supported by Pop Mie, simak selen… https://t.co/BIKF1Piab9"
54,"Sudahi euforia, alih fokus ke pertandingan selanjutnya🔜💪🏼

#PSIS https://t.co/jhMTPyq1LB"
55,"𝐎𝐔𝐑 𝐇𝐀𝐓𝐓𝐑𝐈𝐂𝐊 𝐇𝐄𝐑𝐎⚽️⚽️⚽️ @RiyanArdi_02 

#PSIS https://t.co/EQh3JHS5be"
56,Selamat pagi! 💙 https://t.co/heTtCm6VcP
57,RT @gunturtriaji: 🦾🦾💙💙🫡🫡 #YohIsoYoh @psisfcofficial https://t.co/reJJ9wk9S4
58,"Kebersamaan yang tidak pernah usai, terimakasih telah berjuang bersama @PanserBiruTweet @Snex2005 💙

#PSISDAY https://t.co/Im4Lk63Bx7"
59,"YES BLUES!! 🔵🔵🔵⚡️

#PSIS https://t.co/LDYqOwwNVg"
60,"Gol Persikabo, 3-2 🙄

#PSISDAY"
61,"Pergantian pemain:

⬆️ Damas, Delfin
⬇️ Guntur, Aqsha

#PSISDAY"
62,"'83 Rachmat Hidayat.... memilih untuk menyikat bola padahal posisi Taisei kosong. Bola clearance dari bek Persikabo.

#PSISDAY"
